Cell line name	Analysis Set Name	COSMIC ID	Sanger_ID	Matched status	GDSC description_1	GDSC description_2	Study Abbreviation	Comment	MMR	Analysis Set	Exome	SNP6	expression	methylation	IC50s	RNA-seq	Comment - genetics
A101D	A101D	910921	1710STDY5035139	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
A2058	A2058	906792	1710STDY5035140	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
A375	A375	906793	1710STDY5035141	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
C32	C32	906830	1710STDY5035185	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
CHL-1	CHL-1	910853	1710STDY5035144	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
COLO-679	COLO-679	906818	1710STDY5035145	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
COLO-783	COLO-783	1240125	CGP_CCL5369296	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	No	Yes	Yes	
COLO-792	COLO-792	906814	1710STDY5035181	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
COLO-800	COLO-800	906813	1710STDY5035146	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
COLO-829	COLO-829	687448	1710STDY5035173	Matched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
CP50-MEL-B	CP50-MEL-B	753545	1710STDY5035189	Matched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CP66-MEL	CP66-MEL	753546	1710STDY5035170	Matched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CP67-MEL	CP67-MEL	949092	1710STDY5035147	Unmatched	skin	melanoma	SKCM		MSI-L	Yes	Yes	Yes	No	Yes	Yes		Poor Growth
G-361	G-361	906865	1710STDY5035186	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
GAK	GAK	910932	1710STDY5035149	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
G-MEL	G-MEL	1240130	1710STDY5035178	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HMV-II	HMV-II	907058	1710STDY5035150	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
Hs-939-T	Hs939-T	1298144	CGP_CCL5306207	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	No	No	Yes	Yes	
Hs-940-T	Hs940-T	1298145	CGP_CCL5369270	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HT-144	HT-144	907067	1710STDY5035151	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
IGR-1	IGR-1	907169	1710STDY5035182	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
IGR-37	IGR-37	1240153	1710STDY5035177	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
IPC-298	IPC-298	907171	CGP_CCL5103787	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
IST-MEL1	IST-MEL1	907172	1710STDY5035153	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
LB2518-MEL	LB2518-MEL	753579	1710STDY5035169	Matched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
LB373-MEL-D	LB373-MEL-D	753581	1710STDY5035187	Matched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
LOXIMVI	LOXIMVI	905974	1710STDY5035154	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
M00921	M00921	1723793	CGP_CCL5391658	Unmatched	skin	melanoma	SKCM		MSI-S	No	Yes	Yes	Yes	No	No		Melanoma - UHZ - short term culture
M14	M14	905975	1710STDY5035155	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
M980513	M980513	1723794	CGP_CCL5391660	Unmatched	skin	melanoma	SKCM		MSI-S	No	Yes	Yes	Yes	No	No		Melanoma - UHZ - short term culture
MEL-HO	MEL-HO	908124	1710STDY5035156	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MEL-JUSO	MEL-JUSO	908125	1710STDY5035157	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MET-2B	MET-2B	1659787	CGP_CCL5369331	Unmatched	skin	melanoma	SKCM		MSI-L	No	Yes	Yes	Yes	No	No		Melanoma - UHZ, From same patient as MET-2C- short term culture
Mewo	Mewo	908128	1710STDY5035158	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MMAC-SF	MMAC-SF	925339	1710STDY5035159	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
MZ2-MEL	MZ2-MEL	971777	1710STDY5035172	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
MZ7-mel	MZ7-mel	753596	1710STDY5035171	Matched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RPMI-7951	RPMI-7951	910903	1710STDY5035188	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RVH-421	RVH-421	909706	1710STDY5035180	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SH-4	SH-4	909713	1710STDY5035160	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-1	SK-MEL-1	909723	1710STDY5035161	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-2	SK-MEL-2	905955	1710STDY5035162	Unmatched	skin	melanoma	SKCM		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
SK-MEL-24	SK-MEL-24	909725	1710STDY5035163	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-28	SK-MEL-28	905954	1710STDY5035164	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-3	SK-MEL-3	909724	1710STDY5035190	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-30	SK-MEL-30	909726	1710STDY5035165	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-31	SK-MEL-31	909727	CGP_CCL5391642	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-MEL-5	SK-MEL-5	905956	CGP_CCL5228680	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
UACC-257	UACC-257	905977	1710STDY5035166	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
UACC-62	UACC-62	905976	1710STDY5035167	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
VMRC-MELG	VMRC-MELG	930301	1710STDY5035168	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	No	No	Yes		
WM-115	WM-115	909784	CGP_CCL5103705	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
WM1552C	WM1552C	1299078	1710STDY5035174	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
WM278	WM278	1240226	1710STDY5035179	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
WM35	WM35	1299080	1710STDY5035175	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
WM793B	WM793B	1299081	CGP_CCL5306165	Unmatched	skin	melanoma	SKCM		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
A388	A388	910697	CGP_CCL5055196	Unmatched	skin	skin_other		skin squamous cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
A431	A431	910925	1710STDY5035142	Unmatched	skin	skin_other		skin squamous cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
DJM-1	DJM-1	906841	1710STDY5035148	Unmatched	skin	skin_other		skin squamous cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
Hs-633T	Hs633T	1240149	CGP_CCL5055191	Unmatched	soft_tissue	fibrosarcoma			MSI-S	Yes	Yes	No	Yes	Yes	Yes		
HT-1080	HT-1080	907064	CGP_CCL5055195	Unmatched	soft_tissue	fibrosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SW684	SW684	909754	CGP_CCL5055186	Unmatched	soft_tissue	fibrosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
A204	A204	910784	CGP_CCL5055337	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
A673	A673	684052	CGP_CCL5055342	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KYM-1	KYM-1	1240166	CGP_CCL5055345	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RD	RD	909264	CGP_CCL5055343	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RH-1	RH-1	971773	CGP_CCL5055341	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RH-18	RH-18	971774	CGP_CCL5055346	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RH-41	RH-41	1240210	CGP_CCL5055344	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SJRH30	SJRH30	909716	CGP_CCL5055338	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
TE-441-T	TE-441-T	924248	CGP_CCL5055340	Unmatched	soft_tissue	rhabdomyosarcoma			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Poor Growth
G-402	G-402	907298	1710STDY5035401	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
GCT	GCT	906999	CGP_CCL5055194	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MFH-ino	MFH-ino	925343	CGP_CCL5055185	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SK-LMS-1	SK-LMS-1	909720	CGP_CCL5055190	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SK-UT-1	SK-UT-1	909732	CGP_CCL5055339	Unmatched	soft_tissue	soft_tissue_other			MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SW872	SW872	909756	CGP_CCL5055187	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SW982	SW982	909759	CGP_CCL5055188	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
VA-ES-BJ	VA-ES-BJ	688121	CGP_CCL5055189	Unmatched	soft_tissue	soft_tissue_other			MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
8305C	8305C	906795	CGP_CCL5055241	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
8505C	8505C	924102	CGP_CCL5055225	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ASH-3	ASH-3	1290722	CGP_CCL5228716	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
BCPAP	BCPAP	924104	CGP_CCL5055226	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BHT-101	BHT-101	906696	CGP_CCL5055240	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
CAL-62	CAL-62	906828	CGP_CCL5055238	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
CGTH-W-1	CGTH-W-1	910568	CGP_CCL5055227	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
FTC-133	FTC-133	906864	CGP_CCL5055236	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HTC-C3	HTC-C3	924151	CGP_CCL5055237	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
IHH-4	IHH-4	1240154	CGP_CCL5055235	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
K5	K5	924238	CGP_CCL5055228	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KMH-2	KMH-2	1298167	CGP_CCL5055239	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	No	Yes	Yes		
ML-1	ML-1	1240178	CGP_CCL5103728	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RO82-W-1	RO82-W-1	930083	CGP_CCL5055231	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
S-117	S-117	910946	CGP_CCL5055230	Unmatched	thyroid	thyroid		thyroid sarcoma	MSI-S	No	Yes	Yes	Yes	Yes	Yes	Yes	
TT	TT	930299	CGP_CCL5306318	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TT2609-C02	TT2609-C02	1240223	CGP_CCL5055234	Unmatched	thyroid	thyroid	THCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
5637	5637	687452	CGP_CCL5055220	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
639-V	639-V	906798	CGP_CCL5055215	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
647-V	647-V	906797	CGP_CCL5055203	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BFTC-905	BFTC-905	910926	CGP_CCL5055204	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
CAL-29	CAL-29	1290730	CGP_CCL5055218	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
DSH1	DSH1	753552	CGP_CCL5055205	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HT-1197	HT-1197	907065	CGP_CCL5055217	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
HT-1376	HT-1376	907066	CGP_CCL5055206	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
J82	J82	753566	CGP_CCL5055214	Matched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KU-19-19	KU-19-19	907312	CGP_CCL5055211	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
LB831-BLC	LB831-BLC	753584	CGP_CCL5055216	Matched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
RT-112	RT-112	909704	CGP_CCL5055207	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RT4	RT4	687455	CGP_CCL5055222	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
SCaBER	SCaBER	1299051	CGP_CCL5055219	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Exclude	Yes	Yes	Yes	Yes	Yes	Yes	
SW1710	SW1710	909749	CGP_CCL5055208	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
SW780	SW780	687457	CGP_CCL5055213	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
T-24	T-24	724812	CGP_CCL5055221	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
TCCSUP	TCCSUP	687459	CGP_CCL5055209	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
UM-UC-3	UM-UC-3	724838	CGP_CCL5055210	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
VM-CUB-1	VM-CUB-1	909780	CGP_CCL5055212	Unmatched	urogenital_system	Bladder	BLCA		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
C-33-A	C-33-A	687505	CGP_CCL5055162	Unmatched	urogenital_system	cervix	CESC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
C-4-I	C-4-I	687506	CGP_CCL5306244	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CAL-39	CAL-39	924107	CGP_CCL5055165	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
Ca-Ski	Ca-Ski	906824	CGP_CCL5055155	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
DoTc2-4510	DoTc2-4510	906843	CGP_CCL5055168	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HeLa	HeLa	1298134	CGP_CCL5055170	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HT-3	HT-3	907068	CGP_CCL5055167	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
ME-180	ME-180	687514	CGP_CCL5055156	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
MS751	MS751	1240179	CGP_CCL5055164	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OMC-1	OMC-1	949154	CGP_CCL5055157	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	No	Yes	Yes		
SiHa	SiHa	930297	CGP_CCL5055158	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SISO	SISO	1240212	CGP_CCL5055163	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SKG-IIIa	SKG-IIIa	930298	CGP_CCL5055161	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
SW756	SW756	724839	CGP_CCL5306294	Unmatched	urogenital_system	cervix	CESC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
TC-YIK	TC-YIK	946357	CGP_CCL5055159	Unmatched	urogenital_system	cervix		small cell carcinoma of the uterine cervix	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
AN3-CA	AN3-CA	910781	CGP_CCL5055273	Unmatched	urogenital_system	endometrium	UCEC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
COLO-684	COLO-684	910691	CGP_CCL5055279	Unmatched	urogenital_system	endometrium	UCEC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EN	EN	1240127	CGP_CCL5055276	Unmatched	urogenital_system	endometrium	UCEC		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
ESS-1	ESS-1	907000	CGP_CCL5306197	Unmatched	urogenital_system	endometrium		endometrial stromal sarcoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
HEC-1	HEC-1	907051	CGP_CCL5055283	Unmatched	urogenital_system	endometrium	UCEC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes		
KLE	KLE	924187	CGP_CCL5055280	Unmatched	urogenital_system	endometrium	UCEC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MFE-280	MFE-280	908129	CGP_CCL5055274	Unmatched	urogenital_system	endometrium	UCEC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MFE-296	MFE-296	908130	CGP_CCL5369335	Unmatched	urogenital_system	endometrium	UCEC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MFE-319	MFE-319	1240174	CGP_CCL5055282	Unmatched	urogenital_system	endometrium	UCEC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
RL95-2	RL95-2	930082	CGP_CCL5055281	Unmatched	urogenital_system	endometrium		adenosquamous carcinoma of the endometrium	MSI-H	Yes	Yes	Yes	Yes	No	Yes	Yes	
SNG-M	SNG-M	909735	CGP_CCL5369341	Unmatched	urogenital_system	endometrium	UCEC		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
A2780	A2780	906804	1710STDY5035292	Unmatched	urogenital_system	ovary	UNABLE TO CLASSIFY		MSI-L	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
Caov-3	Caov-3	906825	1710STDY5035313	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	No	Yes	Yes	Yes	
Caov-4	Caov-4	949090	CGP_CCL5369324	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
DOV13	DOV13	1479987	CGP_CCL5306204	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	No	Yes		
EFO-21	EFO-21	911905	1710STDY5035293	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EFO-27	EFO-27	906852	1710STDY5035294	Unmatched	urogenital_system	ovary		mucinous papillary adenocarcinoma	MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
ES-2	ES-2	1240128	1710STDY5035310	Unmatched	urogenital_system	ovary		ovary clear cell carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
FU-OV-1	FU-OV-1	1240129	1710STDY5035309	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Hey	Hey	1479988	CGP_CCL5306206	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	No	Yes		
IGROV-1	IGROV-1	905968	1710STDY5035295	Unmatched	urogenital_system	ovary	OV		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
JHOS-2	JHOS-2	1479995	CGP_CCL5306299	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
JHOS-3	JHOS-3	1480358	CGP_CCL5306290	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
JHOS-4	JHOS-4	1480359	CGP_CCL5306280	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
KGN	KGN	924186	1710STDY5035296	Unmatched	urogenital_system	ovary		granulosa-like tumor	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
KURAMOCHI	KURAMOCHI	909975	1710STDY5035297	Unmatched	urogenital_system	ovary	UNABLE TO CLASSIFY		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OAW-28	OAW-28	946360	1710STDY5035298	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OAW-42	OAW-42	910548	1710STDY5035299	Unmatched	urogenital_system	ovary	OV	ovarian cystadenocarcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OC-314	OC-314	909257	1710STDY5035314	Unmatched	urogenital_system	ovary	OV		MSI-H	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
OV-17R	OV-17R	1480361	CGP_CCL5306286	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OV-56	OV-56	1480362	CGP_CCL5391657	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OV-7	OV-7	1480360	CGP_CCL5306304	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OV-90	OV-90	1240197	CGP_CCL5306188	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OVCA420	OVCA420	1480364	CGP_CCL5306293	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OVCA433	OVCA433	1480367	CGP_CCL5306230	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	No	No	Yes		
OVCAR-3	OVCAR-3	905933	1710STDY5035312	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OVCAR-4	OVCAR-4	905990	1710STDY5035300	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OVCAR-5	OVCAR-5	905969	1710STDY5035301	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
OVCAR-8	OVCAR-8	905991	1710STDY5035302	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
OVISE	OVISE	1240198	1710STDY5035311	Unmatched	urogenital_system	ovary	OV		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
