		PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1341	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1342	NF2  & ¬d13q14.2  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20973	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 1343	¬PTEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1344	¬NF1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1345	¬PTEN  & ¬d19p12  & NF2 	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	0	NaN	NaN	NaN	NaN	NaN	NaN	0.3043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1346	¬d19p12  & ¬d(FANCG,PAX5)  & NF2 	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	0	NaN	NaN	NaN	NaN	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1347	¬PTEN  & ¬d(FANCG,PAX5)  & NF2 	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	0	NaN	NaN	NaN	NaN	NaN	0.17584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1348	¬PTEN  & ¬NF1  & NF2 	-1	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	0	NaN	0.3043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1349	¬PTEN  & ¬NRAS  & NF2 	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	0	0.33095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13410	¬PTEN  & NF2  & ¬CDKN2A 	-1	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.33922	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13411	¬PTEN  & NF2  & ¬PIK3CA 	-1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.39686	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13412	¬PTEN  & NF2  & ¬SMARCA4 	-1	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5191	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13413	¬PTEN  & NF2  & ¬d13q14.2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.3043	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13414	¬PTEN  & NF2  & ¬IL-1-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25581	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 13415	¬PTEN  & NF2  & ¬PI3K_only-DOWN 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN 
																					 
Model 13416	¬PTEN  & NF2  & ¬Wnt-DOWN 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.33922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 13417	¬d19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13418	¬d(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13419	¬d(FANCG,PAX5)  & ¬NF1  & NF2 	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	0.12976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13420	¬d(FANCG,PAX5)  & ¬NRAS  & NF2 	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0	0.098035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13421	¬d(FANCG,PAX5)  & NF2  & ¬CDKN2A 	0	0	-1	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.060221	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13422	¬d19p12  & ¬NF1  & NF2 	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.25821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13423	¬d19p12  & ¬NRAS  & NF2 	0	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0.22649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13424	¬d19p12  & NF2  & ¬CDKN2A 	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.18867	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13425	¬d19p12  & NF2  & ¬PIK3CA 	0	-1	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.24632	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13426	¬d19p12  & NF2  & ¬SMARCA4 	0	-1	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.36856	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1351	¬BRAF  & ¬NF1  & ¬NRAS 	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0.16879	0.065117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1352	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1353	¬NF1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.0031875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1354	¬NRAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.10686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1355	¬NF1  & ¬NRAS  & NF2 	0	0	0	0	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1356	¬d(FANCG,PAX5)  & ¬NRAS  & NF2 	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0	0.019439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1357	NF2  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1201	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1358	¬NF1  & NF2  & ¬H2O2-UP 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1359	¬NRAS  & NF2  & ¬H2O2-UP 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.054983	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13510	¬NRAS  & NF2  & ¬d13q14.2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.019439	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13511	¬d(FANCG,PAX5)  & NF2  & ¬SMARCA4 	0	0	-1	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.17691	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13512	¬NRAS  & NF2  & ¬SMARCA4 	0	0	0	0	0	0	0	-1	1	0	0	0	-1	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.19921	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13513	NF2  & ¬CDKN2A 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11378	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13514	NF2  & ¬SMARCA4  & ¬d13q14.2 	0	0	0	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.17691	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13515	¬PTEN  & NF2  & ¬H2O2-UP 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.038731	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13516	NF2  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0 
																					 
Model 13517	¬d19p12  & NF2  & ¬H2O2-UP 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.032682	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13518	¬d(FANCG,PAX5)  & NF2  & ¬H2O2-UP 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.032682	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13519	NF2  & ¬CDKN2A  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.061906	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13520	NF2  & ¬SMARCA4  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.21245	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13521	NF2  & ¬d13q14.2  & ¬H2O2-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.032682	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN 
																					 
Model 13522	NF2  & ¬H2O2-UP  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN 
																					 
Model 13523	NF2  & ¬H2O2-UP  & ¬TGFB-UP 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.30599	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN 
																					 
Model 13524	NF2  & ¬H2O2-UP  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.061906	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0 
																					 
Model 13525	NF2  & ¬CDKN2A  & ¬IL-1-UP 	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	-1	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN 
																					 
Model 13526	¬BRAF  & ¬NF1  & ¬H2O2-UP 	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0.16879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.051875	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1401	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & ¬H2O2-UP 	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0 
CV error: 0.64932	Feature Importance Scores:	NaN	NaN	0.092992	NaN	NaN	0	0.070387	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.044874	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1402	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & ¬NRAS 	0	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	0.092992	NaN	NaN	0	0.070387	0.022966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1403	¬PTEN  & ¬d(FANCG,PAX5)  & ¬BRAF  & ¬NRAS 	-1	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0.070387	NaN	0.16861	NaN	NaN	0	NaN	0.056329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1411	¬NF1  & ¬CDKN2A  & ¬H2O2-UP  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0.098767	NaN	NaN	NaN 
																					 
Model 1412	¬NF1  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.23152	NaN	NaN	NaN 
																					 
Model 1413	¬NF1  & ¬CDKN2A  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.16133	NaN	NaN	NaN 
																					 
Model 1414	TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 1415	¬d(FANCG,PAX5)  & ¬BRAF  & ¬NF1  & TGFB-UP 	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.094582	NaN	NaN	NaN 
																					 
Model 1416	¬CDKN2A  & TGFB-UP 	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.3649	NaN	NaN	NaN 
																					 
Model 1417	¬PTEN  & ¬BRAF  & ¬NRAS  & TGFB-UP 	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29765	NaN	NaN	NaN 
																					 
Model 1418	¬PTEN  & ¬BRAF  & ¬H2O2-UP  & TGFB-UP 	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.31362	NaN	NaN	NaN 
																					 
Model 1419	¬H2O2-UP  & TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.37252	NaN	NaN	NaN 
																					 
Model 14110	¬PTEN  & ¬BRAF  & TGFB-UP 	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.37618	NaN	NaN	NaN 
																					 
Model 14111	¬PTEN  & TGFB-UP 	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.38346	NaN	NaN	NaN 
																					 
Model 14112	¬BRAF  & ¬NF1  & ¬SMARCA4  & TGFB-UP 	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.22423	NaN	NaN	NaN 
																					 
Model 14113	¬d(FANCG,PAX5)  & ¬NF1  & ¬H2O2-UP  & TGFB-UP 	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.039301	NaN	NaN	NaN 
																					 
Model 14114	¬BRAF  & ¬NF1  & ¬H2O2-UP  & TGFB-UP 	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.16167	NaN	NaN	NaN 
																					 
Model 14115	¬d(FANCG,PAX5)  & ¬IL-1-UP  & TGFB-UP  & ¬Wnt-DOWN 	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	-1 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.080876	NaN	NaN	0 
																					 
Model 14116	¬PTEN  & ¬d(FANCG,PAX5)  & ¬BRAF  & TGFB-UP 	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	0	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.1411	NaN	NaN	NaN 
																					 
Model 14117	¬BRAF  & TGFB-UP 	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4278	NaN	NaN	NaN 
																					 
Model 14118	¬d(FANCG,PAX5)  & TGFB-UP 	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2	NaN	NaN	NaN 
																					 
Model 14119	¬NF1  & ¬H2O2-UP  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.16895	NaN	NaN	NaN 
																					 
Model 14120	¬PIK3CA  & ¬IL-1-UP  & TGFB-UP  & ¬Wnt-DOWN 	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	0	0	-1 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0.19852	NaN	NaN	0 
																					 
Model 14121	¬d(FANCG,PAX5)  & ¬NRAS  & ¬CDKN2A  & TGFB-UP 	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	0	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.097795	NaN	NaN	NaN 
																					 
Model 14122	¬PTEN  & ¬d(FANCG,PAX5)  & ¬NRAS  & TGFB-UP 	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	0	NaN	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.069845	NaN	NaN	NaN 
																					 
Model 14123	¬NRAS  & TGFB-UP 	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.40306	NaN	NaN	NaN 
																					 
Model 14124	¬BRAF  & ¬NF1  & ¬EP300  & TGFB-UP 	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0.22423	NaN	NaN	NaN 
																					 
Model 14125	¬NF1  & ¬EP300  & ¬IL-1-UP  & TGFB-UP 	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	0	0.29395	NaN	NaN	NaN 
																					 
Model 14126	¬NRAS  & ¬H2O2-UP  & ¬IL-1-UP  & TGFB-UP 	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.18613	NaN	NaN	NaN 
																					 
